ticker,Date,OneMthSimpleRet
A,2015-12-31,0.0024947369534840114
A,2016-01-31,-0.099497944162379
A,2016-02-29,-0.007967983472513818
A,2016-03-31,0.06693421537173871
A,2016-04-30,0.029822806195226814
A,2016-05-31,0.12145639377916972
A,2016-06-30,-0.03079360251688268
A,2016-07-31,0.08453554316005008
A,2016-08-31,-0.023487900845269416
A,2016-09-30,0.004831523090903733
A,2016-10-31,-0.07475024763892646
A,2016-11-30,0.009409684048262923
A,2016-12-31,0.03892523923083324
A,2017-01-31,0.07484627485139672
A,2017-02-28,0.04758008794833257
A,2017-03-31,0.03316172049471766
A,2017-04-30,0.04123354182028671
A,2017-05-31,0.09609441408745156
A,2017-06-30,-0.014880966431264353
A,2017-07-31,0.00809337102115859
A,2017-08-31,0.08245531684517649
A,2017-09-30,-0.008034801790028578
A,2017-10-31,0.06184067890514022
A,2017-11-30,0.01778615727657984
A,2017-12-31,-0.030643318618298054
A,2018-01-31,0.09646112653300531
A,2018-02-28,-0.06591290583708564
A,2018-03-31,-0.02463907330011872
A,2018-04-30,-0.015145945093327673
A,2018-05-31,-0.058107699788441325
A,2018-06-30,-0.0012921149132069099
A,2018-07-31,0.07049685699153274
A,2018-08-31,0.022713394076829596
A,2018-09-30,0.04441838341170912
A,2018-10-31,-0.07956987480582822
A,2018-11-30,0.11668441847457434
A,2018-12-31,-0.06528248282758586
A,2019-01-31,0.12733492130151314
A,2019-02-28,0.04457602930929605
A,2019-03-31,0.011832665272452747
A,2019-04-30,-0.021392087465367804
A,2019-05-31,-0.1458597856787095
A,2019-06-30,0.11364652406181164
A,2019-07-31,-0.06839716739155155
A,2019-08-31,0.02449220684223663
A,2019-09-30,0.07994450529619668
A,2019-10-31,-0.011483659990166095
A,2019-11-30,0.06627024592259789
A,2019-12-31,0.0584398041650942
A,2020-01-31,-0.03223548739120896
A,2020-02-29,-0.06649721351039961
A,2020-03-31,-0.06834990729329826
A,2020-04-30,0.07037147798248444
A,2020-05-31,0.14975193066565717
A,2020-06-30,0.004714971919279387
A,2020-07-31,0.09007585719634026
A,2020-08-31,0.04245838258471246
A,2020-09-30,0.005178018755642277
A,2020-10-31,0.013216659652918183
A,2020-11-30,0.14506800617282045
A,2020-12-31,0.013601480090371432
A,2021-01-31,0.01584150857476918
A,2021-02-28,0.015810866336929186
A,2021-03-31,0.04153364965415318
A,2021-04-30,0.052724203358542
A,2021-05-31,0.03359779229344517
A,2021-06-30,0.07007869889356733
A,2021-07-31,0.038031196774923615
A,2021-08-31,0.14514143778992605
